RK	SEASON	TEAM	HighRound	GP	TOI 5v5	TOI 5v4	TOI 5v3	TOI 4v5	TOI 4v4	TOI 4v3	TOI 3v5	TOI 3v4	TOI 3v3	5v5 TOI Tot	5v5 GF	5v5 GA	5v5 GF/60	5v5 SF/60	5v5 Sh%	5v5 GA/60	5v5 SA/60	5v5 Sv%	5v5 +-per60	5v4 TOI Tot	5v4 GF	5v4 GA	5v4 GF/60	5v4 SF/60	5v4 Sh%	5v4 GA/60	5v4 SA/60	5v4 Sv%	5v4 +-per60	4v5 TOI Tot	4v5 GF	4v5 GA	4v5 GF/60	4v5 SF/60	4v5 Sh%	4v5 GA/60	4v5 SA/60	4v5 Sv%	4v5 +-per60
1	2009-2010 Season	CHI	Champ	82	47.8	5.5	0.2	5.1	2.2	0.1	0.2	0	0	3922.7	181	154	2.8	33.2	917	2.4	24	902	0.4	448	50	4	6.7	52.1	871	0.5	5.1	895	6.2	418.9	13	33	1.9	11.2	833	4.7	48	901	-2.9
2	2009-2010 Season	STL		82	45.7	5.9	0.2	6.8	2.1	0	0.1	0.1	0	3747.4	150	158	2.4	29.3	918	2.5	29.1	913	-0.1	485.3	50	6	6.2	50.7	878	0.7	7.3	898	5.4	558.5	7	40	0.8	8.8	915	4.3	50.4	915	-3.5
3	2009-2010 Season	BOS	Semi	82	48.4	5.1	0.1	5.3	2.1	0.1	0.2	0.1	0	3968	139	145	2.1	30.6	931	2.2	28.3	923	-0.1	416.3	39	4	5.6	49.7	887	0.6	11	947	5	435.3	6	33	0.8	11.6	929	4.5	49.5	908	-3.7
4	2009-2010 Season	BUF	Quarter	82	46.7	5.9	0.1	5.6	2.1	0.1	0.1	0.1	0	3827.5	165	152	2.6	31.4	918	2.4	30.9	923	0.2	487.5	49	3	6	49.8	879	0.4	13.7	973	5.7	460.2	4	33	0.5	7.6	931	4.3	49.5	913	-3.8
5	2009-2010 Season	PIT	Semi	82	45.6	6.2	0.1	6.4	2.3	0.1	0.2	0	0	3737.9	178	170	2.9	32.1	911	2.7	28.3	903	0.1	507.5	51	8	6	53.7	888	0.9	8.3	886	5.1	523.7	7	45	0.8	10.2	921	5.2	46.7	890	-4.4
6	2009-2010 Season	DET	Semi	82	47.5	5.9	0.1	5.3	2	0.1	0.1	0	0	3897.3	149	155	2.3	32	928	2.4	29	918	-0.1	485.8	53	1	6.5	58.4	888	0.1	7.8	984	6.4	435.1	8	40	1.1	9.7	886	5.5	50.7	891	-4.4
7	2009-2010 Season	S.J	Conference	82	46.4	5.8	0.1	6.1	2.2	0.1	0.2	0.2	0	3804.2	176	138	2.8	30.4	909	2.2	30.3	928	0.6	471.8	63	9	8	61.2	869	1.1	9.7	882	6.9	500.5	8	45	1	7.9	879	5.4	52	896	-4.4
8	2009-2010 Season	NYR		82	46.6	5.6	0.2	5.9	1.9	0.1	0.2	0.1	0	3821.1	154	148	2.4	29.2	917	2.3	29.6	921	0.1	461.8	47	7	6.1	49.5	877	0.9	9.4	903	5.2	485.2	5	41	0.6	9.5	935	5.1	44.4	886	-4.5
9	2009-2010 Season	CGY		82	47.3	5.4	0.1	6	1.6	0.1	0.2	0.1	0	3880.3	144	142	2.2	28.3	921	2.2	27.7	921	0	442.3	39	1	5.3	47.9	890	0.1	6.1	978	5.2	489.7	8	46	1	10.2	904	5.6	51.8	891	-4.7
10	2009-2010 Season	OTT	Quarter	82	46.8	5.5	0.2	6.1	1.8	0.1	0.2	0	0	3839.3	159	179	2.5	29.3	915	2.8	26.6	895	-0.3	453.5	42	4	5.6	47.9	884	0.5	9.5	944	5	497.4	6	46	0.7	9.7	925	5.5	55.5	900	-4.8
11	2009-2010 Season	PHX	Quarter	82	46.5	6.2	0.1	6	2.3	0.1	0.1	0.1	0	3812	157	138	2.5	30.4	919	2.2	28.3	923	0.3	508.6	44	6	5.2	44.8	884	0.7	8	912	4.5	489.5	3	42	0.4	9.3	961	5.1	53.7	904	-4.8
12	2009-2010 Season	ATL		82	45.9	6.4	0.1	6.1	1.9	0.1	0.2	0.1	0	3760	169	178	2.7	29.5	908	2.8	32.3	912	-0.1	525	48	4	5.5	45.1	878	0.5	9.3	951	5	503.9	9	50	1.1	8.9	880	6	55.5	893	-4.9
13	2009-2010 Season	N.J	Quarter	82	48.9	5.1	0.2	4.8	1.7	0.1	0.1	0	0	4009.9	156	136	2.3	28.7	919	2	26.8	924	0.3	420.3	47	5	6.7	50.4	867	0.7	8.1	912	6	395	7	40	1.1	10.8	901	6.1	43.4	860	-5
14	2009-2010 Season	MTL	Conference	82	47.8	4.8	0.2	5.9	2	0.1	0.2	0.2	0	3920.7	138	152	2.1	26.9	921	2.3	31	925	-0.2	395	53	7	8.1	57	859	1.1	10.5	899	7	482.4	4	44	0.5	10.3	952	5.5	47.5	885	-5
15	2009-2010 Season	VAN	Semi	82	46.2	5.9	0.2	6.2	1.8	0.1	0.1	0	0	3790.1	186	148	2.9	30.2	902	2.3	29	919	0.6	481.1	59	6	7.4	54.6	865	0.7	9.7	923	6.6	508.3	8	55	0.9	8.1	884	6.5	48.4	866	-5.5
16	2009-2010 Season	PHI	Final	82	45.6	6.1	0.1	6.4	2.1	0	0.2	0.1	0	3737.2	148	150	2.4	30.8	923	2.4	29	917	0	497.5	63	8	7.6	56.8	866	1	7	862	6.6	521.8	6	54	0.7	8.9	922	6.2	43.6	858	-5.5
17	2009-2010 Season	MIN		82	46.9	5.8	0.1	5.8	2	0.1	0.2	0.1	0	3844.3	142	167	2.2	26.6	917	2.6	29.4	911	-0.4	475.2	54	13	6.8	48.5	859	1.6	10	835	5.2	475.3	3	49	0.4	6.9	945	6.2	44.9	862	-5.8
18	2009-2010 Season	CAR		82	46.2	6.2	0.2	6.1	1.8	0.1	0.2	0	0	3785.5	153	173	2.4	28.5	915	2.7	30.5	910	-0.3	510.9	50	8	5.9	46.7	874	0.9	9.7	904	4.9	498.4	7	56	0.8	9.6	913	6.7	51.4	869	-5.9
19	2009-2010 Season	ANA		82	46.8	5.7	0.1	5.9	1.9	0.1	0.2	0.2	0	3839.5	157	162	2.5	28.7	914	2.5	32.3	922	-0.1	467.3	52	9	6.7	56.6	882	1.2	9.5	878	5.5	483.4	8	57	1	8.6	884	7.1	57.5	877	-6.1
20	2009-2010 Season	CBJ		82	46.7	5.8	0.1	6.1	1.8	0.1	0.2	0.1	0	3829.2	148	170	2.3	27.7	916	2.7	29.4	909	-0.3	478.3	49	9	6.1	51.8	881	1.1	8.7	870	5	500	5	56	0.6	8.5	930	6.7	52.3	872	-6.1
21	2009-2010 Season	COL	Quarter	82	47	5.9	0.2	5.8	1.8	0.1	0.1	0.1	0	3852.6	166	154	2.6	27.4	906	2.4	31.3	923	0.2	484	48	9	6	49.1	879	1.1	10.2	890	4.8	477.5	8	57	1	6.7	849	7.2	54.2	868	-6.2
22	2009-2010 Season	FLA		82	47.5	5.9	0.2	5.2	1.9	0.1	0.1	0.1	0	3898.1	146	163	2.2	27.5	918	2.5	33.5	925	-0.3	487.8	42	8	5.2	48.1	893	1	10.7	908	4.2	426.7	7	51	1	7.7	873	7.2	57.1	874	-6.2
23	2009-2010 Season	L.A	Quarter	82	46.9	5.6	0.2	5.9	2.2	0.1	0.1	0.1	0	3843.1	153	139	2.4	28.1	915	2.2	26.4	918	0.2	457.9	57	6	7.5	51.1	854	0.8	8.5	908	6.7	485.1	4	54	0.5	7.4	933	6.7	49	864	-6.2
24	2009-2010 Season	EDM		82	47	5.6	0.2	5.6	2	0.1	0.2	0.1	0	3857.5	145	198	2.3	28.2	920	3.1	32.8	906	-0.8	463.2	45	5	5.8	43.5	866	0.6	7	907	5.2	459.3	6	54	0.8	7.7	898	7.1	55.9	874	-6.3
25	2009-2010 Season	WSH	Quarter	82	47	5.5	0.3	6	2	0	0.2	0.1	0	3853.8	225	140	3.5	31.9	890	2.2	30	927	1.3	450.3	69	8	9.2	56.6	838	1.1	9.9	892	8.1	488.8	4	59	0.5	10.7	954	7.2	50	855	-6.8
26	2009-2010 Season	T.B		82	45.7	6.2	0.1	6.4	2.1	0.1	0.2	0.1	0	3751.2	140	168	2.2	27.8	919	2.7	30.2	911	-0.4	505.5	55	7	6.5	53.5	878	0.8	10	917	5.7	524.7	2	64	0.2	7.2	968	7.3	53.4	863	-7.1
27	2009-2010 Season	DAL		82	47.3	6	0.2	5.4	1.9	0.1	0.1	0.1	0	3876.6	157	164	2.4	29.1	916	2.5	30.1	916	-0.1	494.9	54	8	6.5	56.2	884	1	10.1	904	5.6	439.1	9	63	1.2	7.7	839	8.6	56.7	848	-7.4
28	2009-2010 Season	NSH	Quarter	82	48.5	5.6	0.1	4.6	1.7	0.1	0.2	0.1	0	3978.7	157	150	2.4	29.8	921	2.3	28.6	921	0.1	458.3	38	6	5	50.5	902	0.8	6.7	882	4.2	375.4	5	51	0.8	8.6	907	8.2	53.2	847	-7.4
29	2009-2010 Season	TOR		82	47.1	6.1	0.3	5.3	1.9	0.1	0.1	0.1	0	3862.3	156	174	2.4	32.1	924	2.7	28.8	906	-0.3	503.1	34	6	4.1	45.3	911	0.7	8.5	915	3.3	438.1	4	61	0.5	7.9	931	8.4	54.9	848	-7.8
30	2009-2010 Season	NYI		82	46.8	6.2	0.2	5.6	2	0.1	0.2	0.1	0	3841.4	149	178	2.3	29.3	920	2.8	31.2	911	-0.5	509.4	43	3	5.1	51	901	0.4	7.2	951	4.7	456.2	7	68	0.9	9.5	903	8.9	56.7	842	-8
